specObjID,bestObjID,plate,mjd,fiberID,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,elodieObject,elodieSpType,elodieBV,elodieTEff,elodieLogG,elodieFeH
4039881235086200832,1237657192519827728,3588,55184,554,A5II (34578),9.191953,1.076411,22.01321,21.42393,21.13443,21.02333,21.11979,HD002796,Fw,0.647,4949,1.32,-2.32
4040892236061495296,1237663783128793734,3589,55186,136,A5II (34578),11.76241,-0.7446205,22.64289,21.65808,21.49142,21.43171,21.40335,HD000245,G2V,0.539,5373,4.37,-1.08
4063546573891850240,1237663785284469037,3609,55201,632,A5II (34578),30.4274,0.9197662,22.15639,21.69147,21.39666,21.1835,21.63612,HD028343,K7V,1.363,3900,4.232,0.17
4063610895322075136,1237678617431638372,3609,55201,866,A5II (34578),31.59324,1.084417,21.71702,20.74846,20.53805,20.55066,20.61633,HD049434,F1V,0.263,7292,4.241,-0.16
4106264800325292032,1237657070089273511,3647,55241,392,A5II (34578),36.36122,-0.4669832,19.15483,18.26339,17.92345,17.77291,17.7623,HD036395,M1V,1.474,3705,4.8,0.6
4109773891735670784,1237678617435636182,3650,55244,870,A5II (34578),40.61004,0.7731372,22.65056,21.32097,21.03248,21.16808,21.13197,HD016458,G8p...,1.323,4547,1.93,-0.33
4116518296010117120,1237663788487541580,3656,55241,830,A5II (34578),111.5976,42.91038,22.37476,21.56536,21.42636,21.29556,21.12837,HD002796,Fw,0.647,4949,1.32,-2.32
4119812431840301056,1237663917335249686,3659,55181,526,A5II (34578),112.1412,43.42858,22.70822,21.2983,20.94644,20.98895,20.69098,HD016458,G8p...,1.323,4547,1.93,-0.33
4125411695878492160,1237651273490563806,3664,55245,416,A5II (34578),113.9734,39.25858,23.94978,21.83531,21.60909,21.30209,21.06747,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
4127595324964622336,1237673308818506281,3666,55185,168,A5II (34578),115.8713,40.38702,22.76858,21.09071,20.82616,20.54129,20.92918,?,0,0,4752,4.641,-0.91
4128702539565912064,1237654392175067679,3667,55566,100,A5II (34578),116.0792,36.6187,22.06793,20.43191,20.36683,20.30952,20.25599,HD345957,G0Vwe,0.427,5734,3.74,-1.56
4132077489064529920,1237653589016904456,3670,55480,90,A5II (34578),117.524,37.85792,22.61703,21.30834,21.05093,21.02831,21.01897,HD028343,K7V,1.363,3900,4.232,0.17
4132110474413363200,1237651190813753827,3670,55480,210,A5II (34578),117.0762,38.17659,21.72867,20.87426,20.51994,20.57029,20.20462,HD014625,0,1.08,4437,2.745,0.21
4133189095370543104,1237651496831091220,3671,55483,38,A5II (34578),118.1173,45.0441,21.79383,20.40782,20.12368,20.00949,19.96445,HD224315,F0,0.287,7134,3.863,-0.07
4134330938212765696,1237651191351476494,3672,55484,96,A5II (34578),118.116,40.11249,21.28985,20.64692,20.39261,20.43815,20.23229,HD036395,M1V,1.474,3705,4.8,0.6
4136800986017845248,1237673706116219605,3674,55182,890,A5II (34578),118.4011,42.39318,22.63518,21.10703,20.74938,20.6487,20.35511,HD036395,M1V,1.474,3705,4.8,0.6
4138970322526556160,1237663546898055782,3676,55186,590,A5II (34578),116.8508,44.61915,22.00498,21.47711,21.18456,21.12431,20.69141,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
4142392552853884928,1237663917339771556,3679,55209,752,A5II (34578),119.2176,52.67075,22.55066,21.3746,21.17245,20.97347,20.50045,HD046784,M0III,1.674,3796,1.532,-0.27
4152448687275266048,1237663529720676393,3688,55273,472,A5II (34578),121.4787,49.47523,23.62633,21.24099,20.96879,20.91565,20.95125,HD002665,G5IIIwe,0.711,4984,2.36,-1.97
4156861575733727232,1237651250409242689,3692,55186,142,A5II (34578),125.2246,46.4381,23.41084,21.37704,21.00137,21.10514,20.73946,HD001227,G8II-III,0.895,5063,2.65,0.25
4167179948543725568,1237663548513190293,3701,55540,816,A5II (34578),123.5575,54.06149,21.56084,20.84908,20.5036,20.46778,20.12799,HD028343,K7V,1.363,3900,4.232,0.17
4167188744636747776,1237663548513321601,3701,55540,848,A5II (34578),124.0724,54.29874,22.61615,21.29117,21.06665,20.86981,20.67856,HD001227,G8II-III,0.895,5063,2.65,0.25
4206529265209200640,1237666339725771200,3736,55214,608,A5II (34578),16.38625,0.2254399,22.51346,21.48697,21.18003,20.9503,21.00159,HD001227,G8II-III,0.895,5063,2.65,0.25
4215540862426566656,1237678437015355689,3744,55209,624,A5II (34578),37.41667,1.162965,22.07481,21.34283,21.212,21.22278,20.93657,HD005395,G8III-IV,0.936,4761,2.55,-0.75
4215612330682372096,1237663784751202811,3744,55209,884,A5II (34578),38.67213,0.4632487,22.75792,21.86958,21.48741,21.48674,21.49355,HD221170,G2IV,1.014,4483,1.04,-2.09
4216601891566800896,1237657070090191207,3745,55234,388,A5II (34578),38.34505,-0.4856671,22.39109,21.15711,20.98739,20.92187,21.04702,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
4216658791293538304,1237657587096879422,3745,55234,595,A5II (34578),38.26102,0.7901043,22.74293,21.31608,21.1355,21.10847,20.9308,HD002796,Fw,0.647,4949,1.32,-2.32
4224633824041259008,1237657401336529416,3752,55236,936,A5II (34578),119.414,30.36166,22.36176,21.27618,21.54811,21.02745,20.69485,HD046784,M0III,1.674,3796,1.532,-0.27
4225534878014525440,1237657118942560983,3753,55486,118,A5II (34578),119.062,30.86972,22.6826,21.261,20.98493,20.76168,20.6912,HD036395,M1V,1.474,3705,4.8,0.6
4225621189677305856,1237657595146535799,3753,55486,432,A5II (34578),117.303,31.37387,22.83026,21.93616,21.64945,21.38671,20.89362,HD002796,Fw,0.647,4949,1.32,-2.32
